step time dx dv
48400 24.200000 -0.001679 -0.129347
48500 24.250000 -0.008052 -0.124293
48600 24.300000 -0.013990 -0.111894
48700 24.350000 -0.019134 -0.092612
48800 24.400000 -0.023163 -0.067430
48900 24.450000 -0.025817 -0.037832
49000 24.500000 -0.026920 -0.005701
49100 24.550000 -0.026397 0.026832
49200 24.600000 -0.024282 0.057599
49300 24.650000 -0.020714 0.084598
49400 24.700000 -0.015925 0.106181
49500 24.750000 -0.010216 0.121166
49600 24.800000 -0.003935 0.128896
49700 24.850000 0.002548 0.129218
49800 24.900000 0.008870 0.122426
49900 24.950000 0.014688 0.109171
50000 25.000000 0.019702 0.090373
50100 25.050000 0.023662 0.067138
50200 25.100000 0.026375 0.040692
50300 25.150000 0.027713 0.012330
50400 25.200000 0.027612 -0.016617
50500 25.250000 0.026078 -0.044807
50600 25.300000 0.023180 -0.070910
50700 25.350000 0.019055 -0.093634
50800 25.400000 0.013903 -0.111764
50900 25.450000 0.007982 -0.124207
51000 25.500000 0.001597 -0.130066
51100 25.550000 -0.004904 -0.128725
51200 25.600000 -0.011153 -0.119936
51300 25.650000 -0.016783 -0.103908
51400 25.700000 -0.021445 -0.081367
51500 25.750000 -0.024844 -0.053561
51600 25.800000 -0.026756 -0.022202
51700 25.850000 -0.027055 0.010661
51800 25.900000 -0.025718 0.042833
51900 25.950000 -0.022834 0.072183
52000 26.000000 -0.018592 0.096851
52100 26.050000 -0.013262 0.115399
52200 26.100000 -0.007177 0.126898
52300 26.150000 -0.000701 0.130948
52400 26.200000 0.005795 0.127631
52500 26.250000 0.011951 0.117436
52600 26.300000 0.017443 0.101169
52700 26.350000 0.021993 0.079860
52800 26.400000 0.025377 0.054689
52900 26.450000 0.027432 0.026930
53000 26.500000 0.028063 -0.002092
53100 26.550000 0.027239 -0.031031
53200 26.600000 0.024998 -0.058541
53300 26.650000 0.021444 -0.083300
53400 26.700000 0.016746 -0.104039
53500 26.750000 0.011135 -0.119589
53600 26.800000 0.004897 -0.128936
53700 26.850000 -0.001639 -0.131304
53800 26.900000 -0.008110 -0.126240
53900 26.950000 -0.014142 -0.113713
54000 27.000000 -0.019372 -0.094183
54100 27.050000 -0.023472 -0.068645
54200 27.100000 -0.026175 -0.038602
54300 27.150000 -0.027304 -0.005969
54400 27.200000 -0.026782 0.027086
54500 27.250000 -0.024641 0.058354
54600 27.300000 -0.021025 0.085796
54700 27.350000 -0.016166 0.107733
54800 27.400000 -0.010373 0.122965
54900 27.450000 -0.003999 0.130827
55000 27.500000 0.002582 0.131167
55100 27.550000 0.008999 0.124287
55200 27.600000 0.014907 0.110851
55300 27.650000 0.019999 0.091796
55400 27.700000 0.024022 0.068243
55500 27.750000 0.026781 0.041434
55600 27.800000 0.028147 0.012680
55700 27.850000 0.028054 -0.016674
55800 27.900000 0.026506 -0.045270
55900 27.950000 0.023576 -0.071765
56000 28.000000 0.019399 -0.094850
56100 28.050000 0.014179 -0.113290
56200 28.100000 0.008174 -0.125978
56300 28.150000 0.001697 -0.131997
56400 28.200000 -0.004903 -0.130713
56500 28.250000 -0.011251 -0.121867
56600 28.300000 -0.016973 -0.105660
56700 28.350000 -0.021716 -0.082823
56800 28.400000 -0.025178 -0.054616
56900 28.450000 -0.027132 -0.022779
57000 28.500000 -0.027446 0.010605
57100 28.550000 -0.026099 0.043300
57200 28.600000 -0.023180 0.073136
57300 28.650000 -0.018879 0.098216
57400 28.700000 -0.013473 0.117079
57500 28.750000 -0.007298 0.128781
57600 28.800000 -0.000725 0.132916
57700 28.850000 0.005868 0.129573
57800 28.900000 0.012119 0.119251
57900 28.950000 0.017697 0.102770
58000 29.000000 0.022320 0.081175
58100 29.050000 0.025761 0.055665
58200 29.100000 0.027856 0.027527
58300 29.150000 0.028507 -0.001899
58400 29.200000 0.027682 -0.031250
58500 29.250000 0.025420 -0.059167
58600 29.300000 0.021825 -0.084311
58700 29.350000 0.017068 -0.105398
58800 29.400000 0.011382 -0.121239
58900 29.450000 0.005055 -0.130803
59000 29.500000 -0.001577 -0.133293
59100 29.550000 -0.008149 -0.128243
59200 29.600000 -0.014279 -0.115608
59300 29.650000 -0.019599 -0.095849
59400 29.700000 -0.023773 -0.069966
59500 29.750000 -0.026532 -0.039481
59600 29.800000 -0.027693 -0.006342
59700 29.850000 -0.027176 0.027245
59800 29.900000 -0.025015 0.059030
59900 29.950000 -0.021353 0.086936
60000 30.000000 -0.016427 0.109252
